ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Port Townsend,Port Townsend Bay,40,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,27.3,NA,47.9,82.8,28.1,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,41,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,9.97,10.67,40.6,66.9,6.6,NA,1
2020 Winter Port Townsend,Port Townsend Bay,41,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,26.35,NA,47.9,85.8,22.8,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,42,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,13.74,18.61,52.3,69.2,4.7,NA,0
2020 Winter Port Townsend,Port Townsend Bay,42,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,35.55,NA,64.7,92.2,25.3,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,43,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,9.64,12.68,41.9,67.4,6.05,NA,0
2020 Winter Port Townsend,Port Townsend Bay,43,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,23,NA,50.7,83.8,21.2,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,44,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,13.7,22.74,45.6,79.3,7.7,NA,0
2020 Winter Port Townsend,Port Townsend Bay,44,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,33.45,NA,52.1,94.5,32.6,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,45,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,7.71,10.84,34.8,74.6,7.8,NA,0
2020 Winter Port Townsend,Port Townsend Bay,45,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,22.46,NA,45.7,85.7,21.3,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,46,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,12.3,7.57,40.5,75.4,4.5,NA,0
2020 Winter Port Townsend,Port Townsend Bay,46,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,24.22,NA,45.2,87.4,19.4,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,47,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,11.35,13.08,39.5,82.8,5.8,NA,0
2020 Winter Port Townsend,Port Townsend Bay,47,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,23.4,NA,47.2,95.5,20.5,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,48,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,7.76,10.06,38.6,73.3,4.9,NA,0
2020 Winter Port Townsend,Port Townsend Bay,48,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,18.29,NA,44.8,86.2,17.9,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,49,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,17.11,17.97,45.2,73.1,8.9,NA,0
2020 Winter Port Townsend,Port Townsend Bay,49,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,33.1,NA,50.5,85.5,25.9,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,50,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,12.5,19.17,44.1,78.7,5.8,NA,0
2020 Winter Port Townsend,Port Townsend Bay,50,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,33.24,NA,55.3,92.2,28.2,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,51,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,6.42,8.73,40.3,73.8,5.3,NA,0
2020 Winter Port Townsend,Port Townsend Bay,51,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,15.43,NA,50.4,88.7,19.8,NA,NA
2020 Winter Port Townsend,Port Townsend Bay,52,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,R,80.57,76.8,NA,NA,NA,NA,1
2020 Winter Port Townsend,Port Townsend Bay,52,KHS,9.6,48.0712838,-122.7252961,2/6/20,WA,diploid,NA,L,17.32,NA,NA,NA,NA,NA,NA
2020 Winter Hoodsport,Hood Canal,25,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,21.5,11.09,44.3,79.3,7.5,NA,0
2020 Winter Hoodsport,Hood Canal,25,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,39.6,NA,53,84.9,25.6,NA,NA
2020 Winter Hoodsport,Hood Canal,26,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,20.2,16.14,36.9,71.2,9.3,NA,0
2020 Winter Hoodsport,Hood Canal,26,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,L,30.8,NA,48.5,81.3,27.2,NA,NA
2020 Winter Hoodsport,Hood Canal,27,HCS,26,47.3524311,-123.0790172,2/6/20,WA,diploid,NA,R,20.6,23.56,51.9,76.5,11.6,NA,0
